,Unnamed: 0,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
183,183,1.8299999999999998,1.14,1815,1665,0
184,184,0.42,435,0.6599999999999999,1.1099999999999999,2
185,185,0.6599999999999999,0.5549999999999999,1.08,1.29,2
186,186,0.96,705,1.23,1.56,3
187,187,1.26,855,1.68,1.1099999999999999,1
188,188,1.26,855,1.26,0.96,2
189,189,1.56,1005,0.84,1.3499999999999999,3
190,190,0.96,705,0.54,1.05,2
191,191,0.96,705,0.75,1.98,3
192,192,0.96,705,0.75,1.05,2
193,193,0.96,705,0.99,1.14,2
194,194,1.29,0.87,1.9349999999999998,1425,1
195,195,0.96,705,1.65,1.92,3
196,196,0.96,705,0.6599999999999999,1.53,2
197,197,0.96,705,1.44,1.3499999999999999,1
198,198,0.96,705,1.17,1.1099999999999999,2
199,199,1.53,0.99,1335,1035,1
200,200,1.92,1185,1.68,1.8299999999999998,0
201,201,1.65,1.05,855,1.9349999999999998,3
202,202,1.74,1095,1.8299999999999998,2.07,0
203,203,0.75,0.6,1755,1545,1
204,204,0.75,0.6,615,1125,2
205,205,0.75,0.6,1035,435,2
206,206,0.75,0.6,1515,0.5549999999999999,2
207,207,0.75,0.6,0.6749999999999999,1305,2
208,208,0.75,0.6,1305,1605,2
209,209,1.3199999999999998,885,1.1099999999999999,1.26,3
210,210,0.75,0.6,0.6749999999999999,1.2449999999999999,2
211,211,0.75,0.6,1875,615,1
212,212,0.75,0.6,825,0.6749999999999999,2
213,213,0.75,0.6,735,0.9149999999999999,2
214,214,0.75,0.6,1755,1815,1
215,215,0.75,0.6,645,1875,3
216,216,0.75,0.6,645,1305,2
217,217,0.75,0.6,1845,0.40499999999999997,1
218,218,1.3199999999999998,885,1.68,1.44,1
219,219,1.5899999999999999,1.02,1095,1425,3
220,220,0.9299999999999999,0.69,1335,1.2149999999999999,2
221,221,0.78,615,1.44,0.8099999999999999,2
222,222,1.71,1.08,1.2149999999999999,1785,3
223,223,0.78,615,1.68,1.26,1
224,224,1.5899999999999999,1.02,1335,1515,3
225,225,1.17,0.8099999999999999,1125,2.0549999999999997,3
226,226,1.17,0.8099999999999999,1185,1755,3
227,227,1.17,0.8099999999999999,1.6949999999999998,1065,1
228,228,1.17,0.8099999999999999,1635,0.6749999999999999,1
229,229,1.17,0.8099999999999999,705,1515,3
230,230,1.17,0.8099999999999999,975,1395,3
231,231,1.17,0.8099999999999999,885,705,2
