,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
1936,0.28200000000000003,0.264,0.41100000000000003,0.213,1
1937,0.156,0.201,0.084,0.126,2
1938,0.126,0.186,0.315,0.357,3
1939,0.28800000000000003,0.267,0.306,0.168,1
1940,0.15,0.198,0.34500000000000003,0.135,1
1941,0.276,0.261,0.336,0.36,0
1942,0.15,0.198,0.14100000000000001,0.123,2
1943,0.378,0.312,0.375,0.369,0
1944,0.15,0.198,0.327,0.35100000000000003,1
1945,0.114,0.18,0.165,0.315,2
1946,0.234,0.24,0.135,0.23700000000000002,2
1947,0.33,0.28800000000000003,0.297,0.165,1
1948,0.108,0.177,0.14400000000000002,0.10200000000000001,2
1949,0.108,0.177,0.114,0.054,2
1950,0.228,0.23700000000000002,0.192,0.312,3
1951,0.138,0.192,0.147,0.243,2
1952,0.168,0.20700000000000002,0.12,0.36,3
1953,0.192,0.219,0.34800000000000003,0.228,1
1954,0.318,0.28200000000000003,0.297,0.387,0
1955,0.24,0.243,0.39,0.318,1
1956,0.258,0.252,0.315,0.381,3
1957,0.27,0.258,0.41100000000000003,0.381,0
1958,0.27,0.258,0.147,0.375,3
1959,0.168,0.20700000000000002,0.228,0.186,2
1960,0.108,0.177,0.3,0.24,2
1961,0.108,0.177,0.258,0.138,2
1962,0.17400000000000002,0.21,0.23700000000000002,0.357,3
1963,0.252,0.249,0.264,0.252,1
1964,0.156,0.201,0.318,0.33,1
1965,0.192,0.219,0.156,0.12,2
1966,0.21,0.228,0.255,0.363,3
1967,0.246,0.246,0.357,0.381,3
1968,0.18,0.213,0.312,0.096,1
1969,0.14400000000000002,0.195,0.33,0.258,1
1970,0.15,0.198,0.273,0.291,1
1971,0.108,0.177,0.324,0.054,2
1972,0.168,0.20700000000000002,0.252,0.384,3
1973,0.084,0.165,0.21,0.084,2
1974,0.264,0.255,0.33,0.20400000000000001,1
1975,0.20400000000000001,0.225,0.312,0.372,3
1976,0.192,0.219,0.264,0.228,1
1977,0.192,0.219,0.114,0.318,3
1978,0.18,0.213,0.192,0.276,2
1979,0.252,0.249,0.33,0.28800000000000003,1
1980,0.14400000000000002,0.195,0.36,0.192,1
1981,0.192,0.219,0.114,0.34800000000000003,3
1982,0.12,0.183,0.33,0.318,1
1983,0.264,0.255,0.294,0.372,3
1984,0.15,0.198,0.225,0.231,2
1985,0.168,0.20700000000000002,0.21,0.17400000000000002,2
1986,0.246,0.246,0.153,0.327,3
1987,0.222,0.234,0.249,0.219,1
1988,0.168,0.20700000000000002,0.108,0.34800000000000003,3
1989,0.276,0.261,0.138,0.342,3
1990,0.21,0.228,0.357,0.147,1
1991,0.18,0.213,0.384,0.222,1
1992,0.42,0.333,0.294,0.27,0
1993,0.156,0.201,0.21,0.114,2
1994,0.18,0.213,0.186,0.324,3
1995,0.17400000000000002,0.21,0.08700000000000001,0.243,2
1996,0.15,0.198,0.135,0.165,2
1997,0.15,0.198,0.225,0.255,2
1998,0.33,0.28800000000000003,0.447,0.447,0
1999,0.162,0.20400000000000001,0.34500000000000003,0.243,1
2000,0.21,0.228,0.20700000000000002,0.243,2
2001,0.108,0.177,0.07200000000000001,0.318,2
2002,0.06,0.153,0.168,0.078,2
2003,0.15,0.198,0.291,0.093,2
2004,0.228,0.23700000000000002,0.39,0.33,1
2005,0.21,0.228,0.171,0.189,2
2006,0.084,0.165,0.318,0.138,2
2007,0.21,0.228,0.387,0.111,1
2008,0.198,0.222,0.399,0.225,1
2009,0.126,0.186,0.28500000000000003,0.261,2
2010,0.15,0.198,0.369,0.105,1
2011,0.258,0.252,0.171,0.417,3
2012,0.108,0.177,0.222,0.126,2
2013,0.036000000000000004,0.14100000000000001,0.186,0.18,2
2014,0.15,0.198,0.369,0.177,1
2015,0.318,0.28200000000000003,0.453,0.249,1
2016,0.15,0.198,0.093,0.129,2
2017,0.15,0.198,0.243,0.309,3
2018,0.138,0.192,0.267,0.249,2
2019,0.222,0.234,0.375,0.261,1
2020,0.33,0.28800000000000003,0.459,0.213,1
2021,0.27,0.261,0.339,0.405,0
2022,0.192,0.222,0.234,0.234,2
2023,0.17400000000000002,0.213,0.123,0.321,3
2024,0.192,0.222,0.378,0.192,1
2025,0.234,0.243,0.189,0.34500000000000003,3
2026,0.15,0.201,0.273,0.231,2
2027,0.39,0.321,0.201,0.261,3
2028,0.168,0.21,0.276,0.132,2
2029,0.162,0.20700000000000002,0.117,0.261,2
2030,0.156,0.20400000000000001,0.18,0.372,3
2031,0.17400000000000002,0.213,0.08700000000000001,0.255,2
2032,0.24,0.246,0.20400000000000001,0.192,2
2033,0.162,0.20700000000000002,0.279,0.219,1
2034,0.222,0.23700000000000002,0.219,0.243,3
2035,0.21,0.231,0.225,0.165,2
2036,0.21,0.231,0.111,0.147,2
2037,0.20400000000000001,0.228,0.36,0.34800000000000003,1
