,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
7346,32,53.0,43.0,31.0,1
7347,59,66.5,65.5,67.5,0
7348,52,63.0,39.0,48.0,3
7349,52,63.0,26.0,26.0,3
7350,53,63.5,74.5,69.5,0
7351,80,77.0,87.0,55.0,0
7352,24,49.0,19.0,22.0,2
7353,81,77.5,82.5,53.5,0
7354,71,72.5,66.5,63.5,0
7355,58,66.0,35.0,35.0,3
7356,51,62.5,74.5,57.5,0
7357,31,52.5,39.5,40.5,3
7358,43,58.5,52.5,47.5,1
7359,35,54.5,63.5,30.5,1
7360,50,62.0,26.0,40.0,3
7361,60,67.0,52.0,66.0,0
7362,53,63.5,30.5,42.5,3
7363,47,60.5,51.5,68.5,0
7364,23,48.5,56.5,12.5,1
7365,32,53.0,65.0,52.0,1
7366,52,63.0,38.0,27.0,1
7367,45,59.5,57.5,69.5,0
7368,27,50.5,59.5,40.5,1
7369,56,65.0,50.0,77.0,0
7370,65,69.5,74.5,71.5,0
7371,36,55.0,31.0,58.0,3
7372,72,73.0,38.0,44.0,0
7373,45,59.5,39.5,51.5,3
7374,44,59.0,71.0,67.0,0
7375,21,47.5,28.5,30.5,2
7376,43,58.5,49.5,46.5,1
7377,50,62.0,44.0,31.0,1
7378,52,63.0,74.0,48.0,0
7379,56,65.0,77.0,36.0,0
7380,28,51.0,42.0,33.0,1
7381,18,46.0,33.0,54.0,3
7382,38,56.0,55.0,38.0,1
7383,37,55.5,40.5,25.5,1
7384,52,63.0,58.0,33.0,1
7385,49,61.5,57.5,46.5,0
7386,50,62.0,25.0,63.0,3
7387,21,47.5,19.5,40.5,2
7388,51,62.5,27.5,68.5,3
7389,30,52.0,62.0,27.0,1
7390,36,55.0,62.0,25.0,1
7391,36,55.0,38.0,34.0,1
7392,47,60.5,68.5,34.5,1
7393,59,66.5,67.5,44.5,0
7394,47,60.5,62.5,59.5,0
7395,72,73.0,64.0,85.0,0
7396,36,55.0,42.0,64.0,3
7397,47,60.5,65.5,50.5,0
7398,26,50.0,42.0,21.0,2
7399,44,59.0,40.0,25.0,1
7400,57,65.5,66.5,48.5,0
7401,50,62.0,34.0,58.0,3
7402,47,60.5,42.5,66.5,3
7403,46,60.0,24.0,59.0,3
7404,48,61.0,43.0,68.0,0
7405,32,53.0,51.0,26.0,1
7406,48,61.0,66.0,37.0,1
7407,49,61.5,30.5,34.5,3
7408,50,62.0,45.0,60.0,0
7409,37,55.5,41.5,60.5,3
7410,85,80.0,84.5,70.5,0
7411,39,57.0,64.5,33.5,1
7412,39,57.0,61.5,59.5,0
7413,39,57.0,53.5,36.5,1
7414,59,67.0,62.5,74.5,0
7415,32,53.5,33.0,36.0,3
7416,38,56.5,56.0,28.0,1
7417,50,62.5,54.0,66.0,0
7418,48,61.5,51.0,29.0,1
7419,51,63.0,66.5,69.5,0
7420,48,61.5,45.0,30.0,1
7421,50,62.5,33.0,40.0,3
7422,51,63.0,29.5,38.5,3
7423,19,47.0,13.5,35.5,2
7424,51,63.0,66.5,37.5,0
7425,78,76.5,39.0,86.0,0
7426,78,76.5,41.0,64.0,0
7427,48,61.5,55.0,60.0,0
7428,51,63.0,58.5,46.5,0
7429,48,61.5,57.0,70.0,0
7430,30,52.5,36.0,46.0,3
7431,74,74.5,85.0,44.0,0
7432,74,74.5,71.0,43.0,0
7433,73,74.0,49.5,74.5,0
7434,29,52.0,27.5,58.5,3
7435,33,54.0,40.5,50.5,3
7436,33,54.0,18.5,35.5,2
7437,71,73.0,53.5,62.5,0
7438,47,61.0,34.5,34.5,3
7439,51,63.0,25.5,64.5,3
7440,52,63.5,63.0,48.0,0
7441,29,52.0,49.5,38.5,1
7442,71,73.0,41.5,44.5,0
7443,52,63.5,59.0,35.0,1
7444,32,53.5,29.0,33.0,2
7445,33,54.0,41.5,34.5,1
7446,33,54.0,42.5,24.5,1
7447,46,60.5,29.0,49.0,3
7448,29,52.0,57.5,46.5,1
7449,53,64.0,44.5,52.5,0
7450,46,60.5,73.0,51.0,0
7451,70,72.5,85.0,42.0,0
7452,53,64.0,27.5,45.5,3
7453,29,52.0,38.5,25.5,2
7454,34,54.5,51.0,46.0,1
7455,69,72.0,75.5,55.5,0
7456,21,48.0,15.5,32.5,2
7457,22,48.5,39.0,28.0,2
7458,68,71.5,73.0,61.0,0
7459,34,54.5,45.0,57.0,3
7460,34,54.5,20.0,34.0,2
7461,54,64.5,56.0,69.0,0
7462,54,64.5,44.0,46.0,0
7463,34,54.5,50.0,49.0,1
7464,44,59.5,52.0,66.0,0
7465,66,70.5,47.0,78.0,0
7466,32,53.5,37.0,61.0,3
7467,28,51.5,41.0,30.0,1
7468,55,65.0,63.5,46.5,0
7469,22,48.5,21.0,27.0,2
7470,55,65.0,76.5,77.5,0
7471,44,59.5,61.0,22.0,1
7472,65,70.0,55.5,35.5,0
7473,16,45.5,47.0,24.0,2
7474,55,65.0,66.5,59.5,0
7475,44,59.5,48.0,62.0,0
7476,55,65.0,30.5,41.5,3
7477,65,70.0,52.5,43.5,0
7478,65,70.0,74.5,41.5,0
7479,55,65.0,54.5,58.5,0
7480,23,49.0,40.5,55.5,3
7481,35,55.0,52.5,51.5,1
7482,35,55.0,63.5,41.5,1
7483,43,59.0,60.5,51.5,0
7484,64,69.5,63.0,36.0,0
7485,43,59.0,42.5,30.5,1
7486,43,59.0,50.5,67.5,0
7487,36,55.5,65.0,28.0,1
7488,56,65.5,60.0,52.0,0
7489,42,58.5,35.0,70.0,3
